Name,Label,levenshtein_real,levenshtein_fictional,fuzzy_real,fuzzy_fictional,double_metaphone_real,double_metaphone_fictional,is_dictionary_word
Tegwolo,1.0,5,0,55.55555555555556,100.0,0,1,0
Dramatis personae,1.0,7,0,71.42857142857143,100.0,0,1,0
Author surrogate,1.0,8,0,57.14285714285714,100.0,0,1,1
Comic relief,1.0,6,0,59.25925925925925,100.0,0,1,1
Composite character,1.0,10,0,58.06451612903225,100.0,0,1,1
Confidant,1.0,6,0,57.14285714285714,100.0,0,1,1
Double act,1.0,6,0,57.14285714285714,100.0,0,1,1
Foil,1.0,5,0,50.0,100.0,0,1,1
Fool's literature,1.0,8,0,58.06451612903225,100.0,0,1,1
Gag character,1.0,7,0,64.28571428571428,100.0,0,1,1
Guest character,1.0,7,0,61.53846153846154,100.0,0,1,1
Recurring character,1.0,9,0,59.45945945945945,100.0,0,1,1
Regular character,1.0,8,0,64.28571428571428,100.0,0,1,1
Supporting character,1.0,11,0,57.89473684210527,100.0,0,1,1
Sympathetic character,1.0,10,0,62.85714285714285,100.0,0,1,1
Unseen character,1.0,8,0,64.51612903225806,100.0,0,1,1
Anri,1.0,4,0,50.0,100.0,0,1,0
Carrie Mark,1.0,5,0,66.66666666666667,100.0,0,1,1
Columbia,1.0,6,0,53.333333333333336,100.0,0,1,0
Holly Hobbie,1.0,7,0,56.00000000000001,100.0,0,1,1
Lina Leskowitz,1.0,7,0,61.53846153846154,100.0,0,1,1
Robin Sage,1.0,5,0,66.66666666666667,100.0,0,1,1
Saint Javelin,1.0,6,0,63.63636363636363,100.0,0,1,1
Terri Joe,1.0,4,0,66.66666666666667,100.0,0,1,1
Wifejak,1.0,5,0,50.0,100.0,0,1,0
Bumblebee,1.0,5,0,58.33333333333333,100.0,0,1,1
Cliffjumper,1.0,5,0,66.66666666666667,100.0,0,1,0
Grimlock,1.0,5,0,60.0,100.0,0,1,0
Jazz,1.0,6,0,40.0,100.0,0,1,1
Megatron,1.0,5,0,63.1578947368421,100.0,0,1,0
Optimus Prime,1.0,8,0,53.84615384615385,100.0,0,1,1
Sideswipe,1.0,5,0,60.0,100.0,0,1,1
Soundwave,1.0,6,0,52.63157894736843,100.0,0,1,0
Spiders Georg,1.0,8,0,59.25925925925925,100.0,0,1,0
Starscream,1.0,5,0,60.86956521739131,100.0,0,1,0
The Addams Family Theme,1.0,15,0,47.36842105263158,100.0,0,1,1
The Berenstain Bears,1.0,11,0,54.54545454545454,100.0,0,1,1
Cartoons,1.0,5,0,63.1578947368421,100.0,0,1,0
Ett gammalt fult och elakt troll det var en gång,1.0,35,0,41.26984126984127,100.0,0,1,1
The Family Madrigal,1.0,11,0,60.60606060606061,100.0,0,1,1
Funky Worm,1.0,6,0,54.54545454545454,100.0,0,1,1
Go Go Power Rangers,1.0,11,0,51.61290322580645,100.0,0,1,1
The Goonies 'R' Good Enough,1.0,19,0,43.90243902439024,100.0,0,1,1
Heffalumps and Woozles,1.0,13,0,52.94117647058824,100.0,0,1,1
Herr Mannelig,1.0,7,0,61.53846153846154,100.0,0,1,0
"Hey, E.T.",1.0,7,0,33.333333333333336,100.0,0,1,0
The King Is Gone,1.0,9,0,51.85185185185186,100.0,0,1,1
Lambton Worm,1.0,7,0,58.33333333333333,100.0,0,1,1
The Laughing Gnome,1.0,11,0,51.61290322580645,100.0,0,1,1
Meet the Flintstones,1.0,11,0,55.55555555555556,100.0,0,1,1
The Mock Turtle's Song,1.0,13,0,54.54545454545454,100.0,0,1,1
Mrs. Potato Head,1.0,10,0,51.61290322580645,100.0,0,1,1
Pac-Man,1.0,6,0,47.05882352941176,100.0,0,1,0
Pokémon 2.B.A. Master,1.0,13,0,48.64864864864865,100.0,0,1,1
Pokémon Theme,1.0,8,0,57.14285714285714,100.0,0,1,1
"Puff, the Magic Dragon",1.0,14,0,47.36842105263158,100.0,0,1,1
The Raven,1.0,4,0,63.63636363636363,100.0,0,1,1
The Smurfs music,1.0,8,0,59.25925925925925,100.0,0,1,1
Squidward Nose,1.0,9,0,53.84615384615385,100.0,0,1,1
Stressed Out,1.0,7,0,58.33333333333333,100.0,0,1,1
"Teletubbies say ""Eh-oh!""",1.0,16,0,45.71428571428572,100.0,0,1,1
Thumbelina,1.0,5,0,57.14285714285714,100.0,0,1,0
The Unicorn,1.0,7,0,57.14285714285714,100.0,0,1,1
Wuthering Heights,1.0,8,0,60.0,100.0,0,1,0
Ace the Dog,1.0,6,0,54.54545454545454,100.0,0,1,1
"Alina, a Girl with a Jug",1.0,15,0,51.28205128205128,100.0,0,1,1
Bagheera Fountain,1.0,9,0,62.85714285714285,100.0,0,1,1
Beetle Monuments,1.0,9,0,60.0,100.0,0,1,1
Behold,1.0,4,0,53.333333333333336,100.0,0,1,1
Big Tex,1.0,5,0,50.0,100.0,0,1,1
Bolek and Lolek Monument,1.0,13,0,54.054054054054056,100.0,0,1,1
Bremen Town Musicians,1.0,12,0,54.54545454545454,100.0,0,1,1
Bronze Fonz,1.0,6,0,57.14285714285714,100.0,0,1,1
Bullwinkle statue,1.0,9,0,56.25,100.0,0,1,1
Burnett Memorial Fountain,1.0,15,0,52.38095238095239,100.0,0,1,1
Columbo statue,1.0,7,0,56.00000000000001,100.0,0,1,1
David of Sassoun,1.0,8,0,59.25925925925925,100.0,0,1,1
Dickens and Little Nell,1.0,14,0,52.63157894736843,100.0,0,1,1
Dr. Seuss Memorial,1.0,10,0,52.94117647058824,100.0,0,1,1
Don Quixote,1.0,6,0,54.54545454545454,100.0,0,1,1
Eleanor Rigby,1.0,7,0,61.53846153846154,100.0,0,1,0
Evil Clown of Middletown,1.0,15,0,52.63157894736843,100.0,0,1,1
Grigory and Aksinya,1.0,11,0,58.06451612903225,100.0,0,1,1
Grigory and Aksinya in a boat,1.0,19,0,48.78048780487805,100.0,0,1,1
Gromit Unleashed,1.0,8,0,57.14285714285714,100.0,0,1,1
